timestamp,event,player,color,points,total_p1,total_p2,round
2026-01-15T09:28:11.491457,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:11.963439,score_board,2,roze,1,0,0,1
2026-01-15T09:28:12.277670,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:12.285653,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:12.685810,score_board,2,rood,1,0,0,1
2026-01-15T09:28:12.687992,score_board,2,roze,1,0,0,1
2026-01-15T09:28:16.777541,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:16.778237,score_hole,2,roze,3,0,0,1
2026-01-15T09:28:17.468443,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:17.887256,score_board,2,rood,1,0,0,1
2026-01-15T09:28:18.206468,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:21.328407,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:21.729597,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:21.955429,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:21.957033,score_board,2,roze,1,0,0,1
2026-01-15T09:28:22.178577,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:22.401198,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:22.713351,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:22.875952,score_board,2,roze,1,0,0,1
2026-01-15T09:28:26.190049,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:35.351063,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:36.568970,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:37.528642,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:37.529028,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:41.936867,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:43.576967,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:45.979833,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:45.980241,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:45.980393,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:45.980550,score_board,2,rood,1,0,0,1
2026-01-15T09:28:46.128316,score_board,2,roze,1,0,0,1
2026-01-15T09:28:46.420361,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:48.507498,score_hole,1,blauw,3,0,0,1
2026-01-15T09:28:49.343175,score_board,2,roze,1,0,0,1
2026-01-15T09:28:50.050431,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:50.884195,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:50.884797,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:53.542704,score_board,1,blauw,1,0,0,1
2026-01-15T09:28:55.693854,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:00.619559,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:00.620023,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:00.620203,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:00.620348,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:03.072046,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:05.208405,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:05.505379,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:07.859535,score_board,2,rood,1,0,0,1
2026-01-15T09:29:09.880681,score_board,2,roze,1,0,0,1
2026-01-15T09:29:10.031452,score_hole,2,rood,3,0,0,1
2026-01-15T09:29:10.199865,score_board,2,rood,1,0,0,1
2026-01-15T09:29:10.370070,score_board,2,rood,1,0,0,1
2026-01-15T09:29:11.008600,score_board,2,roze,1,0,0,1
2026-01-15T09:29:11.661336,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:11.661711,score_hole,1,blauw,3,0,0,1
2026-01-15T09:29:11.828440,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:11.828795,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:11.829750,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:11.999031,score_board,1,blauw,1,0,0,1
2026-01-15T09:29:12.164930,score_board,2,rood,1,0,0,1
2026-01-15T09:29:12.165897,score_board,2,rood,1,0,0,1
2026-01-15T09:29:12.166528,score_board,2,roze,1,0,0,1
2026-01-15T09:29:12.322401,score_board,2,rood,1,0,0,1
2026-01-15T09:29:12.475541,score_board,2,roze,1,0,0,1
